"","Latitude","Longitude"
"472",33.47,-112.22
"473",33.71,-112.11
"474",33.52,-112.06
"475",33.55,-112.11
"476",33.51,-112.03
"477",33.47,-112.07
"478",33.35,-111.98
"479",33.45,-112.07
"480",33.61,-111.99
"481",33.52,-112.05
"482",33.52,-112.13
"483",33.6,-111.99
"484",33.52,-112.08
"485",33.48,-112.08
"486",33.49,-112.08
"487",33.64,-111.98
"488",33.62,-111.93
"489",33.66,-111.93
"490",33.42,-112.27
"491",33.8,-112.13
"492",33.58,-112.13
"493",34.55,-112.43
"494",34.55,-112.48
"495",34.55,-112.47
"496",34.53,-112.47
"497",34.6,-112.46
"498",34.56,-112.48
"499",34.56,-112.49
"500",34.59,-112.34
"501",34.59,-112.34
"502",34.59,-112.33
"503",33.18,-111.58
"504",33.22,-111.57
"505",33.28,-111.68
"506",33.26,-111.68
"507",33.23,-111.69
"508",33.26,-111.64
"509",33.16,-111.56
"510",31.9,-110.99
"511",31.96,-110.99
"512",33.62,-111.87
"513",33.49,-111.93
"514",33.48,-111.93
"515",33.49,-111.91
"516",33.7,-111.89
"517",33.53,-111.92
"518",33.63,-111.89
"519",33.78,-111.92
"520",33.58,-111.92
"521",33.64,-111.86
"522",33.62,-111.94
"523",33.5,-111.93
"524",33.49,-111.93
"525",33.5,-111.93
"526",33.68,-111.89
"527",33.62,-111.88
"528",33.49,-111.91
"529",33.57,-111.89
"530",33.54,-111.96
"531",33.51,-111.91
"532",33.59,-111.84
"533",33.54,-111.89
"534",33.63,-111.89
"535",33.61,-111.93
"536",33.54,-111.89
"537",33.63,-111.98
"538",33.67,-111.91
"539",33.67,-111.9
"540",33.7,-111.92
"541",33.62,-111.89
"542",33.58,-111.93
"543",33.78,-111.92
"544",33.7,-111.92
"545",33.78,-111.92
"546",33.62,-111.93
"547",33.5,-111.93
"548",33.54,-111.91
"549",33.47,-111.91
"550",33.58,-111.88
"551",33.59,-111.83
"552",33.54,-111.93
"553",34.87,-111.76
"554",34.86,-111.8
"555",34.86,-111.79
"556",34.87,-111.8
"557",34.25,-110.05
"558",31.56,-110.26
"559",31.55,-110.26
"560",31.56,-110.28
"561",33.6,-112.29
"562",33.64,-112.28
"563",33.6,-112.29
"564",33.67,-112.36
"565",33.66,-112.35
"566",33.66,-112.37
"567",33.64,-112.4
"568",33.61,-112.39
"569",33.66,-112.37
"570",33.64,-112.43
"571",33.61,-112.36
"572",33.64,-112.35
"573",33.64,-112.39
"574",33.62,-112.43
"575",33.61,-112.36
"576",33.38,-111.96
"577",33.45,-111.93
"578",33.42,-111.93
"579",33.42,-111.95
"580",33.43,-111.94
"581",33.42,-111.93
"582",33.44,-111.96
"583",33.42,-111.93
"584",33.43,-111.94
"585",33.43,-111.93
"586",33.41,-111.97
"587",33.35,-111.96
"588",33.38,-111.93
"589",33.33,-111.91
"590",33.39,-111.93
"591",33.42,-111.93
"592",33.41,-111.93
"593",33.41,-111.93
"594",33.38,-111.91
"595",33.36,-111.91
"596",33.36,-111.93
"597",33.42,-111.94
"598",33.42,-111.93
"599",33.32,-111.93
"600",33.39,-111.91
"601",33.38,-111.93
"602",33.35,-111.91
"603",33.36,-111.91
"604",33.43,-111.91
"605",32.84,-109.74
"606",33.42,-112.27
"607",32.13,-111.09
"608",32.22,-110.77
"609",32.22,-110.94
"610",32.22,-110.87
"611",32.22,-110.92
"612",32.22,-110.84
"613",32.19,-110.86
"614",32.32,-110.93
"615",32.22,-110.86
"616",32.24,-110.86
"617",32.32,-110.98
"618",32.3,-111
"619",32.12,-110.8
"620",32.24,-111
"621",32.29,-110.97
"622",32.25,-110.89
"623",32.23,-110.83
"624",32.31,-110.89
"625",32.31,-111.01
"626",32.22,-110.91
"627",32.25,-110.84
"628",32.16,-110.99
"629",32.34,-111.01
"630",32.27,-110.95
"631",32.29,-110.94
"632",32.32,-110.93
"633",32.18,-110.95
"634",32.29,-110.97
"635",32.29,-110.97
"636",32.27,-110.89
"637",32.19,-110.79
"638",32.3,-110.97
"639",32.31,-110.89
"640",32.13,-111.01
"641",32.14,-111.03
"642",32.21,-111.05
"643",32.34,-111.05
"644",32.36,-111.09
"645",32.21,-110.79
"646",32.48,-110.92
"647",32.23,-110.95
"648",32.21,-110.79
"649",32.23,-111
"650",32.22,-110.77
"651",32.11,-110.77
"652",32.24,-110.93
"653",32.25,-110.96
"654",32.23,-110.96
"655",32.22,-110.87
"656",32.24,-110.82
"657",32.23,-110.95
"658",32.25,-110.89
"659",32.3,-110.97
"660",32.21,-110.84
"661",32.31,-110.89
"662",32.25,-110.84
"663",32.28,-110.98
"664",32.34,-110.97
"665",32.22,-110.94
"666",32.16,-110.99
"667",33.96,-112.77
"668",32.26,-109.84
"669",35.25,-112.19
"670",32.7,-114.61
"671",32.63,-114.49
"672",32.66,-114.41
"673",32.68,-114.65
"674",32.67,-114.62
"675",32.7,-114.6
"676",32.67,-114.44
"677",32.68,-114.65
"678",34.51,-117.4
"679",34.16,-118.76
"680",34.15,-118.76
"681",33.87,-117.75
"682",37.79,-122.28
"683",37.76,-122.24
"684",37.78,-122.28
"685",37.76,-122.25
"686",37.77,-122.23
"687",37.78,-122.28
"688",37.76,-122.25
"689",37.85,-122.03
"690",37.85,-122.03
"691",37.88,-122.31
"692",34.09,-118.14
"693",34.08,-118.15
"694",34.08,-118.13
"695",34.09,-118.15
"696",34.08,-118.11
"697",34.09,-118.13
"698",33.57,-117.71
"699",33.57,-117.71
"700",33.57,-117.73
"701",33.59,-117.72
"702",32.83,-116.75
"703",38.17,-122.25
"704",38.18,-122.25
"705",33.85,-117.89
"706",33.81,-117.92
"707",33.85,-117.92
"708",33.87,-117.76
"709",33.84,-117.96
"710",33.82,-117.96
"711",33.84,-117.91
"712",33.85,-117.84
"713",33.83,-117.93
"714",33.81,-117.92
"715",33.8,-117.92
"716",33.86,-117.74
"717",33.84,-117.94
"718",33.8,-117.89
"719",33.83,-117.94
"720",33.81,-117.92
"721",33.82,-117.91
"722",33.81,-117.92
"723",33.8,-117.92
"724",33.85,-117.79
"725",33.86,-117.79
"726",33.85,-117.79
"727",33.86,-117.74
"728",40.45,-122.29
"729",40.43,-122.29
"730",38.08,-120.56
"731",38.71,-121.37
"732",37.97,-121.78
"733",37.98,-121.8
"734",37.99,-121.78
"735",37.96,-121.74
"736",38,-121.81
"737",37.96,-121.74
"738",38,-121.84
"739",34.53,-117.22
"740",34.47,-117.24
"741",34.47,-117.24
"742",34.52,-117.22
"743",36.98,-121.9
"744",36.98,-121.91
"745",34.11,-118.02
"746",34.14,-118.02
"747",34.13,-118.05
"748",34.12,-118.06
"749",34.13,-118.07
"750",34.14,-118.05
"751",35.12,-120.6
"752",35.13,-120.6
"753",33.87,-118.08
"754",34.99,-118.94
"755",35.53,-120.7
"756",35.49,-120.66
"757",37.34,-120.62
"758",37.36,-120.59
"759",37.34,-120.59
"760",38.92,-121.06
"761",38.9,-121.07
"762",38.94,-121.1
"763",38.94,-121.09
"764",39.04,-121.09
"765",38.94,-121.1
"766",38.92,-121.06
"767",38.94,-121.09
"768",34.13,-117.89
"769",34.13,-117.93
"770",34.14,-117.91
"771",34.13,-117.91
"772",35.3,-119.05
"773",35.33,-119.07
"774",35.4,-119.09
"775",35.35,-119.12
"776",35.44,-119.08
"777",35.36,-119.07
"778",35.32,-119.05
"779",35.32,-119.09
"780",35.34,-119.05
"781",35.31,-119.09
"782",35.34,-119.1
"783",35.38,-119.15
"784",35.36,-119.09
"785",35.4,-118.95
"786",35.38,-119.02
"787",35.37,-119.04
"788",35.39,-118.97
"789",35.34,-119.04
"790",35.38,-119.15
"791",35.35,-118.91
"792",35.34,-119.03
"793",35.34,-119.03
"794",35.41,-119.06
"795",35.41,-119.11
"796",35.4,-119.11
"797",35.38,-119.1
"798",35.35,-119.12
"799",35.32,-119.03
"800",35.36,-119.06
"801",35.37,-119.02
"802",35.34,-119.1
"803",35.38,-119.1
"804",35.3,-119.03
"805",35.38,-119.02
"806",35.38,-119.04
"807",35.4,-119.09
"808",34.06,-117.99
"809",34.07,-117.98
"810",34.07,-117.96
"811",34.07,-117.98
"812",34.06,-117.97
"813",33.93,-116.9
"814",33.92,-116.95
"815",34.89,-117
"816",34.85,-117.08
"817",34.85,-117.08
"818",33.95,-116.98
"819",33.92,-116.95
"820",33.97,-118.19
"821",33.97,-118.16
"822",33.9,-118.13
"823",33.87,-118.14
"824",37.52,-122.28
"825",37.52,-122.28
"826",37.51,-122.29
"827",38.05,-122.16
"828",38.07,-122.17
"829",38.08,-122.19
"830",38.05,-122.15
"831",37.87,-122.27
"832",37.89,-122.28
"833",37.88,-122.27
"834",37.86,-122.26
"835",37.87,-122.27
"836",34.07,-118.4
"837",34.06,-118.39
"838",34.06,-118.4
"839",34.07,-118.41
"840",34.06,-118.38
"841",34.25,-116.88
"842",34.25,-116.88
"843",37.37,-118.4
"844",37.37,-118.4
"845",34.25,-117.21
"846",33.61,-114.59
"847",33.61,-114.6
"848",32.66,-117.03
"849",32.67,-117.02
"850",32.96,-115.55
"851",32.98,-115.55
"852",33.92,-117.89
"853",33.92,-117.9
"854",33.92,-117.89
"855",33.91,-117.88
"856",33.92,-117.88
"857",33.91,-117.87
"858",33.91,-117.88
"859",33.91,-117.85
"860",33.92,-117.9
"861",37.94,-121.74
"862",37.92,-121.72
"863",34.05,-118.49
"864",37.93,-121.69
"865",34.61,-120.19
"866",33.83,-118.03
"867",33.85,-118
"868",33.85,-117.99
"869",33.86,-118
"870",33.86,-118.03
"871",33.85,-118
"872",33.85,-118.03
"873",34.16,-118.31
"874",34.17,-118.32
"875",34.17,-118.3
"876",34.18,-118.34
"877",34.15,-118.34
"878",34.16,-118.33
"879",34.15,-118.34
"880",34.2,-118.35
"881",34.15,-118.34
"882",34.15,-118.32
"883",34.2,-118.33
"884",34.16,-118.35
"885",34.15,-118.35
"886",34.19,-118.33
"887",34.19,-118.33
"888",34.18,-118.31
"889",34.16,-118.31
"890",34.16,-118.35
"891",34.19,-118.32
"892",37.6,-122.37
"893",37.58,-122.35
"894",37.6,-122.39
"895",37.58,-122.35
"896",37.59,-122.37
"897",35.4,-119.4
"898",37.89,-121.62
"899",33.92,-116.8
"900",33.93,-116.82
"901",33.93,-116.81
"902",34.16,-118.64
"903",34.14,-118.7
"904",34.14,-118.7
"905",32.68,-115.5
"906",34,-117.06
"907",34.22,-119.07
"908",34.22,-119
"909",34.22,-119.07
"910",34.23,-119.04
"911",34.22,-119.06
"912",34.23,-119
"913",34.24,-119.04
"914",38.7,-121
"915",38.66,-120.97
"916",38.66,-120.97
"917",37.29,-121.95
"918",37.27,-121.95
"919",37.29,-121.94
"920",37.28,-121.95
"921",37.29,-121.93
"922",37.29,-121.98
"923",37.29,-121.97
"924",34.22,-118.61
"925",34.2,-118.6
"926",34.19,-118.61
"927",34.19,-118.6
"928",34.19,-118.6
"929",34.42,-118.47
"930",36.98,-121.97
"931",36.98,-121.97
"932",36.97,-121.97
"933",33.02,-117.28
"934",33.09,-117.27
"935",33.08,-117.24
"936",33.13,-117.26
"937",33.18,-117.32
"938",33.13,-117.32
"939",33.08,-117.23
"940",33.1,-117.31
"941",33.1,-117.27
"942",33.16,-117.35
"943",33.12,-117.31
"944",33.1,-117.31
"945",36.54,-121.91
"946",36.54,-121.91
"947",38.66,-121.33
"948",38.64,-121.33
"949",38.63,-121.33
"950",34.39,-119.51
"951",33.81,-118.27
"952",33.85,-118.26
"953",33.81,-118.29
"954",33.84,-118.26
"955",33.81,-118.27
"956",33.84,-118.29
"957",33.84,-118.26
"958",33.87,-118.27
"959",34.45,-118.62
"960",34.5,-118.62
"961",37.69,-122.09
"962",37.7,-122.07
"963",37.7,-122.08
"964",37.69,-122.06
"965",33.85,-116.48
"966",33.82,-116.46
"967",33.79,-116.48
"968",34.06,-118.41
"969",34.06,-118.41
"970",34.06,-118.42
"971",37.61,-120.94
"972",37.61,-120.97
"973",33.85,-118.06
"974",33.86,-118.09
"975",33.86,-118.09
"976",33.86,-118.09
"977",33.85,-118.08
"978",33.86,-118.09
"979",33.87,-118.06
"980",34.26,-118.58
"981",34.25,-118.61
"982",34.26,-118.58
"983",34.24,-118.59
"984",39.74,-121.84
"985",39.73,-121.84
"986",39.75,-121.85
"987",39.72,-121.79
"988",39.73,-121.8
"989",39.76,-121.84
"990",39.76,-121.82
"991",39.73,-121.8
"992",34,-117.72
"993",34,-117.65
"994",34.02,-117.67
"995",34.03,-117.69
"996",34.03,-117.68
"997",34,-117.72
"998",34.03,-117.69
"999",33.98,-117.71
"1000",34,-117.73
"1001",34.01,-117.74
"1002",33.96,-117.7
"1003",33.97,-117.69
"1004",37.13,-120.26
"1005",32.63,-117.04
"1006",32.63,-117.09
"1007",32.66,-116.97
"1008",32.65,-116.97
"1009",32.64,-117
"1010",32.65,-116.97
"1011",32.6,-117.08
"1012",32.65,-117.09
"1013",32.65,-117.06
"1014",32.61,-117.08
"1015",32.63,-117.09
"1016",32.61,-117.03
"1017",38.67,-121.27
"1018",38.68,-121.27
"1019",38.67,-121.27
"1020",38.69,-121.29
"1021",34,-118.17
"1022",34.01,-118.15
"1023",34.03,-118.01
"1024",33.99,-117.91
"1025",34.08,-117.72
"1026",34.1,-117.72
"1027",34.12,-117.71
"1028",34.11,-117.7
"1029",37.95,-121.95
"1030",38.78,-123.01
"1031",36.84,-119.73
"1032",36.81,-119.71
"1033",36.84,-119.66
"1034",36.81,-119.7
"1035",36.84,-119.7
"1036",36.84,-119.69
"1037",36.85,-119.73
"1038",36.84,-119.68
"1039",36.84,-119.73
"1040",36.79,-119.68
"1041",33.7,-116.22
"1042",36.14,-120.36
"1043",39.1,-120.95
"1044",37.67,-122.46
"1045",37.67,-122.46
"1046",34.07,-117.32
"1047",34.05,-117.31
"1048",34.05,-117.31
"1049",34.02,-118.15
"1050",33.87,-118.25
"1051",33.88,-118.22
"1052",33.9,-118.26
"1053",33.88,-118.22
"1054",37.97,-122.06
"1055",37.97,-121.99
"1056",37.98,-122.03
"1057",37.98,-122.03
"1058",37.96,-121.99
"1059",37.95,-121.96
"1060",37.98,-121.99
"1061",37.94,-122.02
"1062",37.97,-122.04
"1063",37.99,-122.03
"1064",37.98,-122.06
"1065",37.97,-122.06
"1066",39.93,-122.2
"1067",33.84,-117.57
"1068",33.89,-117.52
"1069",33.85,-117.54
"1070",33.98,-117.56
"1071",33.89,-117.52
"1072",33.75,-117.45
"1073",33.88,-117.66
"1074",33.82,-117.52
"1075",33.85,-117.56
"1076",33.96,-117.59
"1077",33.84,-117.53
"1078",33.82,-117.52
"1079",33.6,-117.87
"1080",32.69,-117.18
"1081",37.93,-122.52
"1082",37.93,-122.51
"1083",37.93,-122.52
"1084",37.93,-122.51
"1085",33.69,-117.89
"1086",33.68,-117.92
"1087",33.63,-117.91
"1088",33.69,-117.89
"1089",33.68,-117.91
"1090",33.67,-117.91
"1091",33.69,-117.89
"1092",33.68,-117.92
"1093",33.63,-117.91
"1094",33.67,-117.88
"1095",33.69,-117.89
"1096",33.69,-117.89
"1097",33.66,-117.92
"1098",33.66,-117.9
"1099",33.63,-117.92
"1100",33.67,-117.92
"1101",33.64,-117.92
"1102",33.69,-117.88
"1103",38.33,-122.7
"1104",34.09,-117.91
"1105",34.08,-117.89
"1106",34.09,-117.89
"1107",34.09,-117.87
"1108",34.11,-117.89
"1109",41.76,-124.2
"1110",33.99,-118.4
"1111",33.99,-118.39
"1112",34,-118.39
"1113",34,-118.39
"1114",34.01,-118.41
